Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
agrest3,io.agrest.cayenne.cayenne.main.auto,_E15,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LONG_ID_PK_COLUMN; NAME; E14S; E15E1; E5S
agrest3,io.agrest.cayenne.cayenne.main.auto,_E15E1,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: E15_ID_PK_COLUMN; E1_ID_PK_COLUMN; E1; E15
agrest3,io.agrest.cayenne.cayenne.main.auto,_E16,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; C_DATE; C_TIME; C_TIMESTAMP
agrest3,io.agrest.cayenne.cayenne.main.auto,_E17,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID1_PK_COLUMN; ID2_PK_COLUMN; ID1; ID2; NAME; E18S
agrest3,io.agrest.cayenne.cayenne.main.auto,_E18,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; NAME; E17
agrest3,io.agrest.cayenne.cayenne.main.auto,_E19,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; BIG_DECIMAL; BIG_INTEGER; BOOLEAN_OBJECT; BOOLEAN_PRIMITIVE; BYTE_OBJECT; BYTE_PRIMITIVE; C_DATE; C_STRING; C_TIME; C_TIMESTAMP; CHAR_OBJECT; CHAR_PRIMITIVE; DOUBLE_OBJECT; DOUBLE_PRIMITIVE; FLOAT_OBJECT; FLOAT_PRIMITIVE; GUID; INT_OBJECT; INT_PRIMITIVE; LONG_OBJECT; LONG_PRIMITIVE; SHORT_OBJECT; SHORT_PRIMITIVE
agrest3,io.agrest.cayenne.cayenne.main.auto,_E2,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID__PK_COLUMN; ADDRESS; NAME; E3S
agrest3,io.agrest.cayenne.cayenne.main.auto,_E20,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; AGE; DESCRIPTION; NAME; E21
agrest3,io.agrest.cayenne.cayenne.main.auto,_E21,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; AGE; DESCRIPTION; NAME; E20S
agrest3,io.agrest.cayenne.cayenne.main.auto,_E22,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; NAME
agrest3,io.agrest.cayenne.cayenne.main.auto,_E23,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN; EXPOSED_ID; NAME; E26S
agrest3,io.agrest.cayenne.cayenne.main.auto,_E24,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TYPE_PK_COLUMN; NAME; TYPE
agrest3,io.agrest.cayenne.cayenne.main.auto,_E25,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ID_PK_COLUMN
